name,rating,review_count,price,latitude,longitude,address,city,state,categories
Lauter,4.5,44,,36.19337335136203,-86.75434452215987,"754A Douglas Ave, Nashville, TN 37207",Nashville,TN,New American
Pelican & Pig,4.0,238,,36.189262,-86.746326,"1010 Gallatin Ave, Nashville, TN 37206",Nashville,TN,"New American, Cocktail Bars"
Pinewood Social,4.1,2380,$$,36.158383,-86.767779,"33 Peabody St, Nashville, TN 37210",Nashville,TN,"American, Breakfast & Brunch, Bowling"
Dicey's Pizza & Tavern,4.0,293,$$,36.14408166850038,-86.7680125,"425 Chestnut St, Nashville, TN 37203",Nashville,TN,"Pizza, Beer Bar, Sandwiches"
Arnold's Country Kitchen,4.4,1272,$$,36.1514,-86.77958,"605 8th Ave S, Nashville, TN 37203",Nashville,TN,"Southern, Desserts, Comfort Food"
OSH Restaurant & Grill,4.7,285,$$,36.111293,-86.741158,"216 Thompson Ln, Nashville, TN 37211",Nashville,TN,"Mediterranean, Middle Eastern, Uzbek"
Jane’s Hideaway,4.5,160,$$,36.18097,-86.74928,"407 Gallatin Ave, Nashville, TN 37206",Nashville,TN,"New American, Cocktail Bars, Southern"
Gus's World Famous Fried Chicken - Nashville,4.6,47,$$,36.187149,-86.772895,"851 Dickerson Pike, Nashville, TN 37207",Nashville,TN,"Chicken Shop, Chicken Wings, Southern"
Sedona Taphouse,4.4,526,$$,36.1757655,-86.7847052,"1120 3rd Ave N, Nashville, TN 37208",Nashville,TN,"New American, Beer, Wine & Spirits"
Wedge Pizza and Pub,4.3,50,$$,36.13105932003923,-86.77299422307605,"2026 Lindell Ave, Nashville, TN 37203",Nashville,TN,"Pizza, Pubs"
TENN,4.0,99,$$,36.16043,-86.7811,"118 7th Ave N, Nashville, TN 37203",Nashville,TN,"American, Southern, Breakfast & Brunch"
St. Vito Focacceria,4.5,97,,36.15159193739814,-86.7826499,"605 Mansion St, Nashville, TN 37203",Nashville,TN,"Pizza, Sicilian"
Fonda On 12th,4.0,82,$$$,36.12672,-86.78909,"2316 12th Ave S, Nashville, TN 37204",Nashville,TN,"Mexican, Tapas/Small Plates, Salad"
Darfons Restaurant & Lounge,4.4,1250,$$,36.14892578125,-86.6649627685547,"2810 Elm Hill Pike, Nashville, TN 37214",Nashville,TN,"American, New American, Cocktail Bars"
JamBox Sandwich Shop,4.8,24,,36.14149894670025,-86.76275401014321,"1414 3rd Ave S, Nashville, TN 37221",Nashville,TN,"Sandwiches, Salad, Caterers"
Acme Feed & Seed,3.6,22,,36.13151,-86.66931,"1 Terminal Dr, Concourse T, Nashville, TN 37214",Nashville,TN,Tacos
Jeff Ruby's Steakhouse- Nashville,4.5,803,$$$$,36.165392,-86.779418,"300 4th Ave N, Nashville, TN 37219",Nashville,TN,"Seafood, Steakhouses, Sushi Bars"
Tantisimo,4.6,15,,36.14945970569688,-86.8418623,"306 46th Ave N, Nashville, TN 37209",Nashville,TN,"Pop-Up Restaurants, Tapas/Small Plates"
Eddie V's Prime Seafood,4.5,427,$$$,36.160158647720166,-86.77969817741577,"590 Broadway, Nashville, TN 37203",Nashville,TN,"Seafood, Steakhouses, Lounges"
Countrypolitan Bar & Kitchen,4.0,74,$$,36.1653693763455,-86.7789991288293,"301 Union St, Nashville, TN 37201",Nashville,TN,"New American, Bars, Sandwiches"
Geist,3.8,403,$$,36.17454,-86.78551,"311 Jefferson St, Nashville, TN 37208",Nashville,TN,"Cocktail Bars, American, Wine Bars"
Boston Commons,4.4,92,,36.177097391497334,-86.75070909351994,"1008 Woodland St, Ste A, Nashville, TN 37206",Nashville,TN,"Seafood, Fish & Chips, New American"
Whiskey River Saloon,4.0,120,$$,36.161694,-86.77475,"111 Broadway, Nashville, TN 37201",Nashville,TN,"Bars, American"
