name,rating,review_count,price,latitude,longitude,address,city,state,categories
Fred’s Beans & Rice,4.7,15,,35.96453211086046,-83.9199539,"421 Union Ave, Knox Brew Hub, Knoxville, TN 37902",Knoxville,TN,"Cajun/Creole, Seafood, Tacos"
Clancy's Tavern & Whiskey House,3.8,188,$$,35.96432,-83.9174,"602 S Gay St, Knoxville, TN 37902",Knoxville,TN,"Irish, Whiskey Bars, Cocktail Bars"
Myrtle's Chicken + Beer,4.2,465,$$,35.96513,-83.92,"13 Market Square, Knoxville, TN 37902",Knoxville,TN,"Southern, American, Chicken Wings"
Suttree's High Gravity Tavern,4.0,175,$$,35.9661497042862,-83.9187830686569,"409 S Gay St, Knoxville, TN 37902",Knoxville,TN,"Ramen, Beer Bar"
Chesapeake's,4.0,339,$$$,35.963812,-83.922166,"600 Union Ave, Knoxville, TN 37902",Knoxville,TN,"Seafood, Breakfast & Brunch, Wine Bars"
Colonel's Cafe,4.5,260,$,35.94209,-83.98441,"4809 Newcom Ave, Knoxville, TN 37919",Knoxville,TN,"American, Breakfast & Brunch"
Q Korean Steakhouse,4.0,181,$$$,35.9164742,-84.0851178,"8851 Town And Country Cir, Knoxville, TN 37923",Knoxville,TN,"Korean, Seafood, Beer Bar"
Kern's Food Hall,3.9,42,,35.953283826645865,-83.91461574282812,"2201 Kerns Rising Way, Knoxville, TN 37920",Knoxville,TN,"Food Court, Lounges, Music Venues"
Northshore Brasserie,4.4,190,$$$,35.86192,-84.06655,"9430 S Northshore Dr, Knoxville, TN 37922",Knoxville,TN,French
Knoxville Birria Boss,4.9,8,,35.947568,-84.021423,"Knoxville, TN 37909",Knoxville,TN,"Mexican, Pop-Up Restaurants"
Yee-Haw Brewing Company - Knoxville,3.9,77,$$,35.97778,-83.92374,"745 N Broadway, Knoxville, TN 37917",Knoxville,TN,"Breweries, Accessories, Breakfast & Brunch"
Maker Exchange Knox,5.0,1,,35.962564290956394,-83.9232445693506,"710 Clinch Ave, Knoxville, TN 37902",Knoxville,TN,"Tapas Bars, Sandwiches, Tapas/Small Plates"
Tuk Tuk Thai Fusion,4.6,137,$$,35.91208465580315,-84.08979333937168,"9253 Kingston Pike, Knoxville, TN 37922",Knoxville,TN,"Asian Fusion, Thai"
The French Market Creperie,4.4,805,$$,35.96351806478077,-83.91895497281249,"412 W Clinch Ave, Knoxville, TN 37902",Knoxville,TN,"French, Creperies, Breakfast & Brunch"
Point B,4.1,133,$$,35.8934038,-84.06849539999999,"1020 Ebenezer Rd, Knoxville, TN 37922",Knoxville,TN,"New American, Breakfast & Brunch, Cocktail Bars"
New Haven Pizza,4.5,2,,35.96347,-83.919377,"416 Clinch Ave, Knoxville, TN 37902",Knoxville,TN,Pizza
Babalu,3.6,114,,35.96606,-83.91833,"412 S Gay St, Knoxville, TN 37902",Knoxville,TN,"Latin American, Tapas/Small Plates"
The Tomato Head,4.3,950,$$,35.96528,-83.91914,"12 Market Sq, Knoxville, TN 37902",Knoxville,TN,"Pizza, Sandwiches, Cocktail Bars"
